15:26:20.546 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 is running...
15:26:20.546 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 is running...
15:26:20.556 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 1
15:26:20.558 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 3
15:26:20.558 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 4
15:26:20.558 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 5
15:26:20.558 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 6
15:26:20.558 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 7
15:26:20.559 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 8
15:26:20.559 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 9
15:26:20.560 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 10
15:26:20.560 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 11
15:26:20.560 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 12
15:26:20.560 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 13
15:26:20.561 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 14
15:26:20.561 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 15
15:26:20.561 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 16
15:26:20.561 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 17
15:26:20.562 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 18
15:26:20.562 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 19
15:26:20.562 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 20
15:26:20.562 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 21
15:26:20.563 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 22
15:26:20.564 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 23
15:26:20.564 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 24
15:26:20.564 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 25
15:26:20.565 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 26
15:26:20.566 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 27
15:26:20.566 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 28
15:26:20.566 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 29
15:26:20.566 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 30
15:26:20.566 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 31
15:26:20.559 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 2
15:26:20.566 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 32
15:26:20.567 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 34
15:26:20.568 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 35
15:26:20.568 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 36
15:26:20.569 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 37
15:26:20.569 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 38
15:26:20.569 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 39
15:26:20.569 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 40
15:26:20.569 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 41
15:26:20.570 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 42
15:26:20.571 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 43
15:26:20.571 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 44
15:26:20.571 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 45
15:26:20.571 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 46
15:26:20.571 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 47
15:26:20.571 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 48
15:26:20.571 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 49
15:26:20.574 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 50
15:26:20.574 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 51
15:26:20.575 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 52
15:26:20.567 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 33
15:26:20.575 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 54
15:26:20.576 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 55
15:26:20.576 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 56
15:26:20.575 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 53
15:26:20.576 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 57
15:26:20.576 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 58
15:26:20.576 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 60
15:26:20.576 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 61
15:26:20.576 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 62
15:26:20.576 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 63
15:26:20.577 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 64
15:26:20.577 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 65
15:26:20.577 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 66
15:26:20.577 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 67
15:26:20.577 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 68
15:26:20.577 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 69
15:26:20.577 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 70
15:26:20.577 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 71
15:26:20.577 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 72
15:26:20.577 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 73
15:26:20.578 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 74
15:26:20.578 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 75
15:26:20.576 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 59
15:26:20.578 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 76
15:26:20.578 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 78
15:26:20.578 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 77
15:26:20.578 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 79
15:26:20.578 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 80
15:26:20.578 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 81
15:26:20.578 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 82
15:26:20.578 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 84
15:26:20.578 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 83
15:26:20.579 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 85
15:26:20.579 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 86
15:26:20.579 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 88
15:26:20.579 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 89
15:26:20.579 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 90
15:26:20.579 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 91
15:26:20.579 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 92
15:26:20.579 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 93
15:26:20.579 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 94
15:26:20.579 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 95
15:26:20.580 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 96
15:26:20.579 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 87
15:26:20.580 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 97
15:26:20.580 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 98
15:26:20.580 [Thread-1] INFO  ua.vedroid.multithreading.ThreadB - Thread-1 - 100
15:26:20.580 [Thread-0] INFO  ua.vedroid.multithreading.ThreadA - Thread-0 - 99
